LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
4717616.473256,1567008.000,48840,9,PG,1,100,3614
4717616.482983,1567017.727,48857,11,PG,1,100,3600
4717616.492711,1567027.455,48857,11,PG,1,100,3617
4717616.502438,1567037.182,48857,11,PG,1,100,3620
4717616.512165,1567046.909,48857,11,PG,1,100,3612
4717616.521893,1567056.636,48857,11,PG,1,100,3633
4717616.531620,1567066.364,48857,11,PG,1,100,3629
4717616.541348,1567076.091,48857,11,PG,1,100,3648
4717616.551075,1567085.818,48857,11,PG,1,100,3608
4717616.560802,1567095.545,48857,11,PG,1,100,3649
4717616.570530,1567105.273,48857,11,PG,1,100,3621
4717616.580257,1567115.000,48857,11,PG,1,100,3651
4717616.590591,1567125.333,48874,9,PG,1,100,3624
4717616.600924,1567135.667,48874,9,PG,1,100,3605
4717616.611257,1567146.000,48874,9,PG,1,100,3639
4717616.621591,1567156.333,48874,9,PG,1,100,3626
4717616.631924,1567166.667,48874,9,PG,1,100,3615
4717616.642258,1567177.000,48874,9,PG,1,100,3601
4717616.652591,1567187.333,48874,9,PG,1,100,3608
4717616.662925,1567197.667,48874,9,PG,1,100,3629
4717616.673258,1567208.000,48874,9,PG,1,100,3590
4717616.683958,1567218.700,48889,10,PG,1,100,3601
4717616.694658,1567229.400,48889,10,PG,1,100,3607
4717616.705358,1567240.100,48889,10,PG,1,100,3626
4717616.716059,1567250.800,48889,10,PG,1,100,3627
4717616.726759,1567261.500,48889,10,PG,1,100,3606
4717616.737459,1567272.200,48889,10,PG,1,100,3566
4717616.748159,1567282.900,48889,10,PG,1,100,3623
4717616.758859,1567293.600,48889,10,PG,1,100,3586
4717616.769559,1567304.300,48889,10,PG,1,100,3597
4717616.780259,1567315.000,48889,10,PG,1,100,3591
4717616.789896,1567324.636,48905,11,PG,1,100,3621
4717616.799532,1567334.273,48905,11,PG,1,100,3587
4717616.809169,1567343.909,48905,11,PG,1,100,3598
4717616.818805,1567353.545,48905,11,PG,1,100,3572
4717616.828442,1567363.182,48905,11,PG,1,100,3626
4717616.838078,1567372.818,48905,11,PG,1,100,3603
4717616.847715,1567382.455,48905,11,PG,1,100,3600
4717616.857351,1567392.091,48905,11,PG,1,100,3596
4717616.866987,1567401.727,48905,11,PG,1,100,3590
4717616.876624,1567411.364,48905,11,PG,1,100,3595
4717616.886260,1567421.000,48905,11,PG,1,100,3606
4717616.896705,1567431.444,48921,9,PG,1,100,3629
4717616.907150,1567441.889,48921,9,PG,1,100,3609
4717616.917594,1567452.333,48921,9,PG,1,100,3586
4717616.928039,1567462.778,48921,9,PG,1,100,3603
4717616.938483,1567473.222,48921,9,PG,1,100,3611
4717616.948928,1567483.667,48921,9,PG,1,100,3588
4717616.959372,1567494.111,48921,9,PG,1,100,3590
4717616.969817,1567504.556,48921,9,PG,1,100,3610
4717616.980261,1567515.000,48921,9,PG,1,100,3604
4717616.989898,1567524.636,48939,11,PG,1,100,3606
4717616.999534,1567534.273,48939,11,PG,1,100,3602
4717617.009171,1567543.909,48939,11,PG,1,100,3615
4717617.018807,1567553.545,48939,11,PG,1,100,3620
4717617.028444,1567563.182,48939,11,PG,1,100,3618
4717617.038080,1567572.818,48939,11,PG,1,100,3639
4717617.047717,1567582.455,48939,11,PG,1,100,3606
4717617.057353,1567592.091,48939,11,PG,1,100,3601
4717617.066990,1567601.727,48939,11,PG,1,100,3625
4717617.076626,1567611.364,48939,11,PG,1,100,3617
4717617.086263,1567621.000,48939,11,PG,1,100,3592
4717617.096263,1567631.000,48962,20,PG,1,100,3600
4717617.106263,1567641.000,48962,20,PG,1,100,3592
4717617.116263,1567651.000,48962,20,PG,1,100,3618
4717617.126263,1567661.000,48962,20,PG,1,100,3604
4717617.136263,1567671.000,48962,20,PG,1,100,3614
4717617.146263,1567681.000,48962,20,PG,1,100,3616
4717617.156263,1567691.000,48962,20,PG,1,100,3635
4717617.166263,1567701.000,48962,20,PG,1,100,3617
4717617.176264,1567711.000,48962,20,PG,1,100,3614
4717617.186264,1567721.000,48962,20,PG,1,100,3623
4717617.196264,1567731.000,48962,20,PG,1,100,3629
4717617.206264,1567741.000,48962,20,PG,1,100,3648
4717617.216264,1567751.000,48962,20,PG,1,100,3634
4717617.226264,1567761.000,48962,20,PG,1,100,3630
4717617.236264,1567771.000,48962,20,PG,1,100,3638
4717617.246264,1567781.000,48962,20,PG,1,100,3599
4717617.256264,1567791.000,48962,20,PG,1,100,3619
4717617.266264,1567801.000,48962,20,PG,1,100,3618
4717617.276265,1567811.000,48962,20,PG,1,100,3621
4717617.286265,1567821.000,48962,20,PG,1,100,3628
4717617.296965,1567831.700,48977,10,PG,1,100,3626
4717617.307665,1567842.400,48977,10,PG,1,100,3607
4717617.318365,1567853.100,48977,10,PG,1,100,3607
4717617.329065,1567863.800,48977,10,PG,1,100,3628
4717617.339765,1567874.500,48977,10,PG,1,100,3618
4717617.350465,1567885.200,48977,10,PG,1,100,3656
4717617.361165,1567895.900,48977,10,PG,1,100,3633
4717617.371866,1567906.600,48977,10,PG,1,100,3612
4717617.382566,1567917.300,48977,10,PG,1,100,3619
4717617.393266,1567928.000,48977,10,PG,1,100,3614
4717617.403599,1567938.333,48995,9,PG,1,100,3631
4717617.413933,1567948.667,48995,9,PG,1,100,3628
4717617.424266,1567959.000,48995,9,PG,1,100,3610
4717617.434600,1567969.333,48995,9,PG,1,100,3602
4717617.444933,1567979.667,48995,9,PG,1,100,3604
4717617.455266,1567990.000,48995,9,PG,1,100,3605
4717617.465600,1568000.333,48995,9,PG,1,100,3606
4717617.475933,1568010.667,48995,9,PG,1,100,3602
4717617.486267,1568021.000,48995,9,PG,1,100,3631
4717617.495994,1568030.727,49012,11,PG,1,100,3633
4717617.505722,1568040.455,49012,11,PG,1,100,3583
4717617.515449,1568050.182,49012,11,PG,1,100,3616
4717617.525176,1568059.909,49012,11,PG,1,100,3639
4717617.534904,1568069.636,49012,11,PG,1,100,3633
4717617.544631,1568079.364,49012,11,PG,1,100,3632
4717617.554358,1568089.091,49012,11,PG,1,100,3614
4717617.564086,1568098.818,49012,11,PG,1,100,3607
4717617.573813,1568108.545,49012,11,PG,1,100,3636
4717617.583541,1568118.273,49012,11,PG,1,100,3608
4717617.593268,1568128.000,49012,11,PG,1,100,3619
4717617.603601,1568138.333,49027,9,PG,1,100,3591
4717617.613935,1568148.667,49027,9,PG,1,100,3627
4717617.624268,1568159.000,49027,9,PG,1,100,3590
4717617.634602,1568169.333,49027,9,PG,1,100,3617
4717617.644935,1568179.667,49027,9,PG,1,100,3606
4717617.655269,1568190.000,49027,9,PG,1,100,3612
4717617.665602,1568200.333,49027,9,PG,1,100,3622
4717617.675936,1568210.667,49027,9,PG,1,100,3614
4717617.686269,1568221.000,49027,9,PG,1,100,3622
4717617.695996,1568230.727,49043,11,PG,1,100,3617
4717617.705724,1568240.455,49043,11,PG,1,100,3603
4717617.715451,1568250.182,49043,11,PG,1,100,3611
4717617.725178,1568259.909,49043,11,PG,1,100,3604
4717617.734906,1568269.636,49043,11,PG,1,100,3623
4717617.744633,1568279.364,49043,11,PG,1,100,3602
4717617.754361,1568289.091,49043,11,PG,1,100,3612
4717617.764088,1568298.818,49043,11,PG,1,100,3643
4717617.773815,1568308.545,49043,11,PG,1,100,3610
4717617.783543,1568318.273,49043,11,PG,1,100,3629
4717617.793270,1568328.000,49043,11,PG,1,100,3611
4717617.802998,1568337.727,49060,11,PG,1,100,3637
4717617.812725,1568347.455,49060,11,PG,1,100,3655
4717617.822452,1568357.182,49060,11,PG,1,100,3613
4717617.832180,1568366.909,49060,11,PG,1,100,3625
4717617.841907,1568376.636,49060,11,PG,1,100,3599
4717617.851634,1568386.364,49060,11,PG,1,100,3626
4717617.861362,1568396.091,49060,11,PG,1,100,3591
4717617.871089,1568405.818,49060,11,PG,1,100,3649
4717617.880817,1568415.545,49060,11,PG,1,100,3616
4717617.890544,1568425.273,49060,11,PG,1,100,3644
4717617.900271,1568435.000,49060,11,PG,1,100,3625
4717617.910605,1568445.333,49076,9,PG,1,100,3606
4717617.920938,1568455.667,49076,9,PG,1,100,3628
4717617.931272,1568466.000,49076,9,PG,1,100,3610
4717617.941605,1568476.333,49076,9,PG,1,100,3642
4717617.951938,1568486.667,49076,9,PG,1,100,3638
4717617.962272,1568497.000,49076,9,PG,1,100,3628
4717617.972605,1568507.333,49076,9,PG,1,100,3609
4717617.982939,1568517.667,49076,9,PG,1,100,3610
4717617.993272,1568528.000,49076,9,PG,1,100,3648
4717618.003972,1568538.700,49092,10,PG,1,100,3629
4717618.014673,1568549.400,49092,10,PG,1,100,3581
4717618.025373,1568560.100,49092,10,PG,1,100,3594
4717618.036073,1568570.800,49092,10,PG,1,100,3653
4717618.046773,1568581.500,49092,10,PG,1,100,3627
4717618.057473,1568592.200,49092,10,PG,1,100,3650
4717618.068173,1568602.900,49092,10,PG,1,100,3629
4717618.078873,1568613.600,49092,10,PG,1,100,3650
4717618.089573,1568624.300,49092,10,PG,1,100,3621
4717618.100273,1568635.000,49092,10,PG,1,100,3623
4717618.109910,1568644.636,49107,11,PG,1,100,3597
4717618.119546,1568654.273,49107,11,PG,1,100,3624
4717618.129183,1568663.909,49107,11,PG,1,100,3616
4717618.138819,1568673.545,49107,11,PG,1,100,3625
4717618.148456,1568683.182,49107,11,PG,1,100,3580
4717618.158092,1568692.818,49107,11,PG,1,100,3611
4717618.167729,1568702.455,49107,11,PG,1,100,3611
4717618.177365,1568712.091,49107,11,PG,1,100,3652
4717618.187002,1568721.727,49107,11,PG,1,100,3609
4717618.196638,1568731.364,49107,11,PG,1,100,3593
4717618.206275,1568741.000,49107,11,PG,1,100,3618
4717618.216719,1568751.444,49126,9,PG,1,100,3613
4717618.227164,1568761.889,49126,9,PG,1,100,3646
4717618.237608,1568772.333,49126,9,PG,1,100,3621
4717618.248053,1568782.778,49126,9,PG,1,100,3616
4717618.258497,1568793.222,49126,9,PG,1,100,3616
4717618.268942,1568803.667,49126,9,PG,1,100,3593
4717618.279386,1568814.111,49126,9,PG,1,100,3620
4717618.289831,1568824.556,49126,9,PG,1,100,3666
4717618.300276,1568835.000,49126,9,PG,1,100,3626
4717618.309912,1568844.636,49141,11,PG,1,100,3634
4717618.319549,1568854.273,49141,11,PG,1,100,3627
4717618.329185,1568863.909,49141,11,PG,1,100,3613
4717618.338821,1568873.545,49141,11,PG,1,100,3618
4717618.348458,1568883.182,49141,11,PG,1,100,3634
4717618.358094,1568892.818,49141,11,PG,1,100,3646
4717618.367731,1568902.455,49141,11,PG,1,100,3604
4717618.377367,1568912.091,49141,11,PG,1,100,3622
4717618.387004,1568921.727,49141,11,PG,1,100,3630
4717618.396640,1568931.364,49141,11,PG,1,100,3619
4717618.406277,1568941.000,49141,11,PG,1,100,3653
4717618.416721,1568951.444,49159,9,PG,1,100,3629
4717618.427166,1568961.889,49159,9,PG,1,100,3630
4717618.437610,1568972.333,49159,9,PG,1,100,3621
4717618.448055,1568982.778,49159,9,PG,1,100,3625
4717618.458499,1568993.222,49159,9,PG,1,100,3628
4717618.468944,1569003.667,49159,9,PG,1,100,3622
4717618.479389,1569014.111,49159,9,PG,1,100,3640
4717618.489833,1569024.556,49159,9,PG,1,100,3642
4717618.500278,1569035.000,49159,9,PG,1,100,3624
4717618.510005,1569044.727,49173,11,PG,1,100,3616
4717618.519732,1569054.455,49173,11,PG,1,100,3600
4717618.529460,1569064.182,49173,11,PG,1,100,3617
4717618.539187,1569073.909,49173,11,PG,1,100,3628
4717618.548915,1569083.636,49173,11,PG,1,100,3658
4717618.558642,1569093.364,49173,11,PG,1,100,3626
4717618.568369,1569103.091,49173,11,PG,1,100,3661
4717618.578097,1569112.818,49173,11,PG,1,100,3633
4717618.587824,1569122.545,49173,11,PG,1,100,3664
4717618.597551,1569132.273,49173,11,PG,1,100,3648
4717618.607279,1569142.000,49173,11,PG,1,100,3619
4717618.617879,1569152.600,49189,10,PG,1,100,3651
4717618.628479,1569163.200,49189,10,PG,1,100,3634
4717618.639079,1569173.800,49189,10,PG,1,100,3616
4717618.649679,1569184.400,49189,10,PG,1,100,3624
4717618.660279,1569195.000,49189,10,PG,1,100,3631
4717618.670880,1569205.600,49189,10,PG,1,100,3634
4717618.681480,1569216.200,49189,10,PG,1,100,3670
4717618.692080,1569226.800,49189,10,PG,1,100,3621
4717618.702680,1569237.400,49189,10,PG,1,100,3614
4717618.713280,1569248.000,49189,10,PG,1,100,3642
